图片名,分辨率1,分辨率2,相似性检验结果
WhiteStorksNest_ZH-CN9809680903,768x1280,400x240,0.884676
WhiteStorksNest_ZH-CN9809680903,768x1280,320x240,0.85084
WhiteStorksNest_ZH-CN9809680903,768x1280,240x320,0.98146
qixi_ZH-CN3534017617,768x1280,1920x1080,0.884065
qixi_ZH-CN3534017617,768x1280,1366x768,0.88328
qixi_ZH-CN3534017617,768x1280,1280x768,0.891541
qixi_ZH-CN3534017617,768x1280,1024x768,0.848334
qixi_ZH-CN3534017617,768x1280,800x600,0.869351
qixi_ZH-CN3534017617,768x1280,800x480,0.882723
qixi_ZH-CN3534017617,768x1280,768x1280,1
qixi_ZH-CN3534017617,768x1280,720x1280,0.994963
qixi_ZH-CN3534017617,768x1280,640x480,0.873505
qixi_ZH-CN3534017617,768x1280,480x800,0.940851
qixi_ZH-CN3534017617,768x1280,400x240,0.884223
qixi_ZH-CN3534017617,768x1280,320x240,0.873291
qixi_ZH-CN3534017617,768x1280,240x320,0.897533
LinyantiLeopard_ZH-CN9934758728,768x1280,1920x1080,0.905511
LinyantiLeopard_ZH-CN9934758728,768x1280,1366x768,0.868857
LinyantiLeopard_ZH-CN9934758728,768x1280,1280x768,0.913026
LinyantiLeopard_ZH-CN9934758728,768x1280,1024x768,0.775823
LinyantiLeopard_ZH-CN9934758728,768x1280,800x600,0.901675
LinyantiLeopard_ZH-CN9934758728,768x1280,800x480,0.923676
LinyantiLeopard_ZH-CN9934758728,768x1280,768x1280,1
LinyantiLeopard_ZH-CN9934758728,768x1280,720x1280,0.986245
LinyantiLeopard_ZH-CN9934758728,768x1280,640x480,0.923102
LinyantiLeopard_ZH-CN9934758728,768x1280,480x800,0.956398
LinyantiLeopard_ZH-CN9934758728,768x1280,400x240,0.912515
LinyantiLeopard_ZH-CN9934758728,768x1280,320x240,0.89023
LinyantiLeopard_ZH-CN9934758728,768x1280,240x320,0.931386
KluaneAspen_ZH-CN0028056280,768x1280,1920x1080,0.939493
KluaneAspen_ZH-CN0028056280,768x1280,1366x768,0.190812
KluaneAspen_ZH-CN0028056280,768x1280,1280x768,0.948328
KluaneAspen_ZH-CN0028056280,768x1280,1024x768,0.909867
KluaneAspen_ZH-CN0028056280,768x1280,800x600,0.93584
KluaneAspen_ZH-CN0028056280,768x1280,800x480,0.946653
KluaneAspen_ZH-CN0028056280,768x1280,768x1280,1
KluaneAspen_ZH-CN0028056280,768x1280,720x1280,0.996365
KluaneAspen_ZH-CN0028056280,768x1280,640x480,0.941777
KluaneAspen_ZH-CN0028056280,768x1280,480x800,0.97987
KluaneAspen_ZH-CN0028056280,768x1280,400x240,0.937166
KluaneAspen_ZH-CN0028056280,768x1280,320x240,0.929906
KluaneAspen_ZH-CN0028056280,768x1280,240x320,0.955063
TrianaBridge_ZH-CN0107319931,800x480,1920x1080,0.889864
TrianaBridge_ZH-CN0107319931,800x480,1366x768,0.897567
TrianaBridge_ZH-CN0107319931,800x480,1280x768,0.91231
TrianaBridge_ZH-CN0107319931,800x480,1024x768,0.9224
TrianaBridge_ZH-CN0107319931,800x480,800x600,0.960728
TrianaBridge_ZH-CN0107319931,800x480,800x480,1
TrianaBridge_ZH-CN0107319931,800x480,720x1280,0.846859
TrianaBridge_ZH-CN0107319931,800x480,640x480,0.962971
TrianaBridge_ZH-CN0107319931,800x480,480x800,0.893941
TrianaBridge_ZH-CN0107319931,800x480,400x240,0.97969
TrianaBridge_ZH-CN0107319931,800x480,320x240,0.954732
TrianaBridge_ZH-CN0107319931,800x480,240x320,0.881612
TRNPThunderstorm_ZH-CN0178957327,768x1280,1920x1080,0.919961
TRNPThunderstorm_ZH-CN0178957327,768x1280,1366x768,0.918866
TRNPThunderstorm_ZH-CN0178957327,768x1280,1280x768,0.910613
